표준코드,단축코드,한글종목명,한글종목약명,영문종목명,상장일,기초지수명,지수산출기관,추적배수,복제방법,기초시장분류,기초자산분류,상장좌수,운용사,CU수량,총보수,과세유형
"KR7365780006","365780","한국투자 ACE 국고채10년증권상장지수투자신탁(채권)","ACE 국고채10년","KIM ACE Korea 10Y Treasury Bond ETF","2020/10/15","KIS 10년 국고채 지수 (총수익)","KIS 채권평가","일반 (1)","실물(패시브)","국내","채권","1143000","한국투자신탁운용","3000","0.100","배당소득세(보유기간과세)"
"KR7299070003","299070","한국투자 ACE 국채선물10년인버스증권상장지수투자신탁(채권-파생형)","ACE 국채선물10년인버스","KIM ACE LKTB Futures Inverse ETF","2018/06/08","10년국채선물지수","KRX","1X 인버스 (-1)","실물(패시브)","국내","채권","50000","한국투자신탁운용","1000","0.050","배당소득세(보유기간과세)"
"KR7299080002","299080","한국투자 ACE 국채선물3년인버스증권상장지수투자신탁(채권-파생형)","ACE 국채선물3년인버스","KIM ACE KTB Futures Inverse ETF","2018/06/08","국채선물지수","KRX","1X 인버스 (-1)","실물(패시브)","국내","채권","50000","한국투자신탁운용","1000","0.050","배당소득세(보유기간과세)"
"KR7411050008","411050","한국투자 ACE 글로벌메타버스테크액티브증권상장지수투자신탁(주식)","ACE 글로벌메타버스테크액티브","KIM ACE Global Metaverse tech Active ETF","2021/12/22","Bloomberg Global Digital Media & Tech Select Price Return Index","Bloomberg","일반 (1)","실물(액티브)","해외","주식","2000000","한국투자신탁운용","100000","0.500","배당소득세(보유기간과세)"
"KR7435040001","435040","한국투자 ACE 글로벌브랜드TOP10블룸버그증권상장지수투자신탁(주식)","ACE 글로벌브랜드TOP10블룸버그","KIM ACE Bloomberg Global Brand TOP10 ETF","2022/06/28","Bloomberg Global Select Industry Leaders TOP10 Index(PR)","Bloomberg","일반 (1)","실물(패시브)","해외","주식","1000000","한국투자신탁운용","50000","0.500","배당소득세(보유기간과세)"
"KR7181480005","181480","한국투자 ACE 다우존스 미국 리츠부동산 상장지수투자신탁(파생형)(합성 H)","ACE 미국다우존스리츠(합성 H)","KIM ACE SYNTH-Dow Jones US Real Estate ETF(H)","2013/08/01","Dow Jones U.S. Real Estate Index","S&P","일반 (1)","합성(패시브)","해외","부동산","180000","한국투자신탁운용","20000","0.300","배당소득세(분리과세부동산ETF)"
"KR7190620005","190620","한국투자 ACE 단기자금 증권 상장지수투자신탁(채권)","ACE 단기통안채","KIM ACE SHORT-TERM MSB MONEY MARKET ETF","2013/12/23","KIS MSB 단기지수(총수익)","KIS 채권평가","일반 (1)","실물(패시브)","국내","채권","2626000","한국투자신탁운용","1000","0.070","배당소득세(보유기간과세)"
"KR7440640001","440640","한국투자 ACE 단기채권알파액티브증권상장지수투자신탁(채권)","ACE 단기채권알파액티브","KIM ACE Short term Bond Alpha Active ETF","2022/08/23","KIS 단기채권알파AA-이상 총수익지수","KIS 채권평가","일반 (1)","실물(액티브)","국내","채권","436000","한국투자신탁운용","1000","0.150","배당소득세(보유기간과세)"
"KR7265690008","265690","한국투자 ACE 러시아MSCI증권상장지수투자신탁(주식-파생형)(합성)","ACE 러시아MSCI(합성)","KIM ACE MSCI Russia ETF(Synth)","2017/03/21","MSCI Russia 25% Capped Price Return Index","MSCI","일반 (1)","합성(패시브)","해외","주식","1850000","한국투자신탁운용","50000","0.000","배당소득세(보유기간과세)"
"KR7152500005","152500","한국투자 ACE 레버리지 증권상장지수투자신탁(주식-파생형)","ACE 레버리지","KIM ACE LEVERAGE ETF","2012/01/27","코스피 200","KRX","2X 레버리지 (2)","실물(패시브)","국내","주식","1400000","한국투자신탁운용","100000","0.300","배당소득세(보유기간과세)"
"KR7291130003","291130","한국투자 ACE 멕시코MSCI증권상장지수투자신탁(주식-파생형)(합성)","ACE 멕시코MSCI(합성)","KIM ACE MSCI MEXICO ETF(Synth)","2018/03/09","MSCI MEXICO IMI 25/50 Price return Index","MSCI","일반 (1)","합성(패시브)","해외","주식","800000","한국투자신탁운용","100000","0.500","배당소득세(보유기간과세)"
"KR7342140001","342140","한국투자 ACE 모닝스타싱가포르리츠30증권상장지수투자신탁(채권혼합-파생형)","ACE 싱가포르리츠채권혼합모닝스타","KIM ACE Morningstar Singapore REITs Blended ETF","2019/12/27","Morningstar Singapore REIT Yield Focus Income Protection Index","MorningStar","일반 (1)","실물(패시브)","국내&해외","혼합자산","600000","한국투자신탁운용","100000","0.400","배당소득세(보유기간과세)"
"KR7280320003","280320","한국투자 ACE 미국IT인터넷증권상장지수투자신탁(주식-파생형)(합성 H)","ACE 미국IT인터넷S&P(합성 H)","KIM ACE US INTERNET ETF(Synth H)","2017/10/17","다우존스 인터넷 종합지수","S&P","일반 (1)","합성(패시브)","해외","주식","800000","한국투자신탁운용","100000","0.500","배당소득세(보유기간과세)"
"KR7360200000","360200","한국투자 ACE 미국S&P500증권상장지수투자신탁(주식)","ACE 미국S&P500","KIM ACE S&P500 ETF","2020/08/07","S&P 500","S&P","일반 (1)","실물(패시브)","해외","주식","37400000","한국투자신탁운용","100000","0.070","배당소득세(보유기간과세)"
"KR7438080004","438080","한국투자 ACE 미국S&P500채권혼합액티브증권상장지수투자신탁(채권혼합)","ACE 미국S&P500채권혼합액티브","KIM ACE S&P500 3070 Blend ETF","2022/08/26","S&P500 and Short-Term Treasury 30/70 Blend Index","S&P","일반 (1)","실물(액티브)","해외","혼합자산","800000","한국투자신탁운용","100000","0.150","배당소득세(보유기간과세)"
"KR7309230001","309230","한국투자 ACE 미국WideMoat가치주증권상장지수투자신탁(주식)","ACE 미국WideMoat가치주","KIM ACE US Wide Moat ETF","2018/10/25","MorningStar Wide Moat Focus Index","MorningStar","일반 (1)","실물(패시브)","해외","주식","4500000","한국투자신탁운용","100000","0.400","배당소득세(보유기간과세)"
"KR7402970008","402970","한국투자 ACE 미국고배당S&P증권상장지수투자신탁(주식)","ACE 미국고배당S&P","KIM ACE S&P US Dividend 100 ETF","2021/10/21","Dow Jones U.S. Dividend 100 Price Return Index","S&P","일반 (1)","실물(패시브)","해외","주식","6000000","한국투자신탁운용","100000","0.500","배당소득세(보유기간과세)"
"KR7367380003","367380","한국투자 ACE 미국나스닥100증권상장지수투자신탁(주식)","ACE 미국나스닥100","KIM ACE US NASDAQ100 ETF","2020/10/29","NASDAQ 100","NASDAQ","일반 (1)","실물(패시브)","해외","주식","33300000","한국투자신탁운용","100000","0.070","배당소득세(보유기간과세)"
"KR7438100000","438100","한국투자 ACE 미국나스닥100채권혼합액티브증권상장지수투자신탁(채권혼합)","ACE 미국나스닥100채권혼합액티브","KIM ACE NASDAQ100 3070 Blend ETF","2022/08/26","NASDAQ-100 US T-Bills 30/70 Index","NASDAQ","일반 (1)","실물(액티브)","해외","혼합자산","800000","한국투자신탁운용","100000","0.150","배당소득세(보유기간과세)"
"KR7440650000","440650","한국투자 ACE 미국달러단기채권액티브증권상장지수투자신탁(채권)","ACE 미국달러단기채권액티브","KIM ACE US Short Term Bond Active ETF","2022/08/23","Bloomberg Short-Term Treasury Total Return Index","Bloomberg","일반 (1)","실물(액티브)","해외","채권","1500000","한국투자신탁운용","100000","0.300","배당소득세(보유기간과세)"
"KR7391590007","391590","한국투자 ACE 미국스팩&IPO INDXX증권상장지수투자신탁(주식)","ACE 미국스팩&IPO INDXX","KIM ACE US SPAC&IPO INDXX ETF","2021/08/05","Indxx SPAC & NEXTGEN IPO Price return Index","Indxx","일반 (1)","실물(패시브)","해외","주식","1200000","한국투자신탁운용","100000","0.700","배당소득세(보유기간과세)"
"KR7391600004","391600","한국투자 ACE 미국친환경그린테마INDXX증권상장지수투자신탁(주식)","ACE 미국친환경그린테마INDXX","KIM ACE US Green Theme INDXX ETF","2021/08/05","Indxx US Green Infrastructure Price return Index","Indxx","일반 (1)","실물(패시브)","해외","주식","2800000","한국투자신탁운용","100000","0.700","배당소득세(보유기간과세)"
"KR7143460004","143460","한국투자 ACE 밸류대형 증권 상장지수투자신탁(주식)","ACE 밸류대형","KIM ACE Value Large ETF","2011/06/21","FnGuide-RAFI 코리아 대형 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","1100000","한국투자신탁운용","100000","0.150","비과세"
"KR7245710009","245710","한국투자 ACE 베트남VN30증권상장지수투자신탁(주식-파생형)(합성)","ACE 베트남VN30(합성)","KIM ACE Vietnam VN30 ETF(Synth)","2016/07/01","VN30 Index(PR)","HOSE(Hochiminh Stock Exchange)","일반 (1)","합성(패시브)","해외","주식","8000000","한국투자신탁운용","100000","0.700","배당소득세(보유기간과세)"
"KR7371130006","371130","한국투자 ACE 블룸버그베트남VN30선물레버리지증권상장지수투자신탁(주식-파생형)(H)","ACE 베트남VN30선물블룸버그레버리지(H)","KIM ACE Vietnam VN30 Futures Leverage ETF(H)","2020/11/25","Bloomberg VN30 Futures Excess Return Index","Bloomberg","2X 레버리지 (2)","실물(패시브)","해외","주식","500000","한국투자신탁운용","100000","0.700","배당소득세(보유기간과세)"
"KR7131890006","131890","한국투자 ACE 삼성그룹주 동일가중 증권 상장지수투자신탁(주식)","ACE 삼성그룹동일가중","KIM ACE Samsung Group Equal Weighted ETF","2010/09/17","MKF SAMs EW 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","500000","한국투자신탁운용","100000","0.150","비과세"
"KR7108450008","108450","한국투자 ACE 삼성그룹주SW 증권 상장지수투자신탁(주식)","ACE 삼성그룹섹터가중","KIM ACE SAMSUNG GROUP SW ETF","2009/02/03","MKF SAMs SW","FnGuide","일반 (1)","실물(패시브)","국내","주식","2500000","한국투자신탁운용","100000","0.150","비과세"
"KR7226380004","226380","한국투자 ACE 성장소비주도주증권상장지수투자신탁(주식)","ACE Fn성장소비주도주","KIM ACE Korean Culture ETF","2015/08/19","FnGuide 성장소비주도 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","1000000","한국투자신탁운용","100000","0.500","비과세"
"KR7322130006","322130","한국투자 ACE 스마트로우볼증권상장지수투자신탁(주식)","ACE 스마트로우볼","KIM ACE Smart Low Volatility ETF","2019/04/16","FnGuide 스마트 로우볼 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","500000","한국투자신탁운용","100000","0.190","비과세"
"KR7272220005","272220","한국투자 ACE 스마트모멘텀증권상장지수투자신탁(주식)","ACE 스마트모멘텀","KIM ACE Smart Momentum ETF","2017/07/11","FnGuide 스마트 모멘텀 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","400000","한국투자신탁운용","100000","0.190","비과세"
