표준코드,단축코드,한글종목명,한글종목약명,영문종목명,상장일,기초지수명,지수산출기관,추적배수,복제방법,기초시장분류,기초자산분류,상장좌수,운용사,CU수량,총보수,과세유형
"KR7292160009","292160","미래에셋 TIGER KRX300증권상장지수투자신탁(주식)","TIGER KRX300","MIRAE ASSET TIGER KRX300 ETF","2018/03/26","KRX 300","KRX","일반 (1)","실물(패시브)","국내","주식","1400000","미래에셋자산운용","100000","0.090","비과세"
"KR7364990002","364990","미래에셋 TIGER KRX게임K-뉴딜증권상장지수투자신탁(주식)","TIGER KRX게임K-뉴딜","MIRAE ASSET KRX TIGER GAME K-NEW DEAL ETF","2020/10/07","KRX 게임 K-뉴딜지수","KRX","일반 (1)","실물(패시브)","국내","주식","3150000","미래에셋자산운용","50000","0.400","비과세"
"KR7404540007","404540","미래에셋 TIGER KRX기후변화솔루션증권상장지수투자신탁(주식)","TIGER KRX기후변화솔루션","MIRAE ASSET TIGER KRX Climate Change Solutions ETF","2021/10/29","KRX 기후변화 솔루션지수","KRX","일반 (1)","실물(패시브)","국내","주식","3350000","미래에셋자산운용","50000","0.090","비과세"
"KR7364970004","364970","미래에셋 TIGER KRX바이오K-뉴딜증권상장지수투자신탁(주식)","TIGER KRX바이오K-뉴딜","MIRAE ASSET TIGER KRX BIO K-NEW DEAL ETF","2020/10/07","KRX 바이오 K-뉴딜지수","KRX","일반 (1)","실물(패시브)","국내","주식","15650000","미래에셋자산운용","50000","0.400","비과세"
"KR7365000009","365000","미래에셋 TIGER KRX인터넷K-뉴딜증권상장지수투자신탁(주식)","TIGER KRX인터넷K-뉴딜","MIRAE ASSET TIGER KRX INTERNET K-NEW DEAL ETF","2020/10/07","KRX 인터넷 K-뉴딜지수","KRX","일반 (1)","실물(패시브)","국내","주식","7700000","미래에셋자산운용","50000","0.400","비과세"
"KR7300610003","300610","미래에셋 TIGER K게임증권상장지수투자신탁(주식)","TIGER K게임","MIRAE ASSET TIGER K-GAME ETF","2018/07/24","WISE K게임 테마 지수","WiseFn","일반 (1)","실물(패시브)","국내","주식","1550000","미래에셋자산운용","50000","0.500","비과세"
"KR7138530001","138530","미래에셋 TIGER LG그룹+ 증권상장지수투자신탁(주식)","TIGER LG그룹+펀더멘털","MIRAE ASSET TIGER LG GROUP+ ETF","2011/03/10","MKF LG그룹+ FW","FnGuide","일반 (1)","실물(패시브)","국내","주식","1340000","미래에셋자산운용","20000","0.150","비과세"
"KR7445910003","445910","미래에셋 TIGER MKF배당귀족증권상장지수투자신탁(주식)","TIGER MKF배당귀족","MIRAE ASSET TIGER MKF Dividend Aristocrats ETF","2022/10/18","MKF 배당귀족 지수(시장가격지수)","FnGuide","일반 (1)","실물(패시브)","국내","주식","3000000","미래에셋자산운용","50000","0.200","비과세"
"KR7289260002","289260","미래에셋 TIGER MSCI KOREA ESG리더스증권상장지수투자신탁(주식)","TIGER MSCI KOREA ESG리더스","MIRAE ASSET TIGER MSCI KOREA ESG LEADERS ETF","2018/02/07","MSCI Korea Country ESG Leaders Capped Index","MSCI","일반 (1)","실물(패시브)","국내","주식","1860000","미래에셋자산운용","30000","0.400","비과세"
"KR7289250003","289250","미래에셋 TIGER MSCI KOREA ESG유니버설증권상장지수투자신탁(주식)","TIGER MSCI KOREA ESG유니버설","MIRAE ASSET TIGER MSCI KOREA ESG UNIVERSAL ETF","2018/02/07","MSCI Korea ESG Universal Index","MSCI","일반 (1)","실물(패시브)","국내","주식","1200000","미래에셋자산운용","30000","0.400","비과세"
"KR7310970009","310970","미래에셋 TIGER MSCI Korea Total Return증권상장지수투자신탁(주식)","TIGER MSCI Korea TR","MIRAE ASSET TIGER MSCI Korea Total Return ETF","2018/11/20","MSCI Korea TR Index","MSCI","일반 (1)","실물(패시브)","국내","주식","88100000","미래에셋자산운용","100000","0.120","배당소득세(보유기간과세)"
"KR7143850006","143850","미래에셋 TIGER S&P500선물 증권상장지수투자신탁(주식-파생형)","TIGER 미국S&P500선물(H)","MIRAE ASSET TIGER S&P500 FUTURES ETF","2011/07/18","S&P 500 Futures Index(ER)","S&P","일반 (1)","실물(패시브)","해외","주식","8700000","미래에셋자산운용","25000","0.300","배당소득세(보유기간과세)"
"KR7269370003","269370","미래에셋 TIGER S&P글로벌인프라증권상장지수투자신탁 (주식-파생형)(합성)","TIGER S&P글로벌인프라(합성)","MIRAEASSET TIGER SYNTH-S&P GLOBAL INFRASTRUCTURE ETF","2017/05/16","S&P Global Infrastructure Index","S&P","일반 (1)","합성(패시브)","해외","주식","700000","미래에셋자산운용","50000","0.400","배당소득세(보유기간과세)"
"KR7292150000","292150","미래에셋 TIGER TOP10증권상장지수투자신탁(주식)","TIGER TOP10","MIRAE ASSET TIGER TOP10 ETF","2018/03/30","FnGuide TOP10 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","160600000","미래에셋자산운용","50000","0.150","비과세"
"KR7139280002","139280","미래에셋 TIGER 경기방어 증권상장지수투자신탁(주식)","TIGER 경기방어","MIRAE ASSET TIGER CONSUMER STAPLES ETF","2011/04/06","코스피 200 경기방어소비재","KRX","일반 (1)","실물(패시브)","국내","주식","8020000","미래에셋자산운용","20000","0.400","비과세"
"KR7237440003","237440","미래에셋 TIGER 경기방어혼합 증권상장지수투자신탁(채권혼합)","TIGER 경기방어채권혼합","MIRAE ASSET TIGER CONSUMER GOODS BALANCED ETF","2016/01/27","경기방어소비재 채권혼합 지수","KRX","일반 (1)","실물(패시브)","국내","혼합자산","800000","미래에셋자산운용","100000","0.200","배당소득세(보유기간과세)"
"KR7319640009","319640","미래에셋 TIGER 골드선물특별자산상장지수투자신탁(금-파생형)(H)","TIGER 골드선물(H)","MIRAE ASSET TIGER GOLD FUTURES ETF(H)","2019/04/09","S&P GSCI Gold Index(TR)","S&P","일반 (1)","실물(패시브)","해외","원자재","2050000","미래에셋자산운용","50000","0.390","배당소득세(보유기간과세)"
"KR7160580007","160580","미래에셋 TIGER 구리실물 특별자산상장지수투자신탁(금속)","TIGER 구리실물","MIRAE ASSET TIGER PHYSICAL COPPER ETF","2012/12/17","S&P GSCI Cash Copper Index","S&P","일반 (1)","실물(패시브)","해외","원자재","2350000","미래에셋자산운용","25000","0.830","배당소득세(보유기간과세)"
"KR7114820004","114820","미래에셋 TIGER 국채3 증권상장지수투자신탁(채권)","TIGER 국채3년","MIRAE ASSET TIGER KTB3 ETF","2009/08/27","KTB INDEX(시장가격)","KRX","일반 (1)","실물(패시브)","국내","채권","630000","미래에셋자산운용","30000","0.150","배당소득세(보유기간과세)"
"KR7387270002","387270","미래에셋 TIGER 글로벌BBIG액티브증권상장지수투자신탁(주식-재간접형)","TIGER 글로벌BBIG액티브","MIRAE ASSET TIGER GLOBAL BBIG ACTIVE ETF","2021/05/25","NASDAQ 100","NASDAQ","일반 (1)","실물(액티브)","해외","주식","4990000","미래에셋자산운용","10000","0.550","배당소득세(보유기간과세)"
"KR7440340008","440340","미래에셋 TIGER 글로벌멀티에셋TIF액티브증권상장지수투자신탁(채권혼합)","TIGER 글로벌멀티에셋TIF액티브","MIRAE ASSET TIGER Global Multi Asset TIF Active ETF","2022/08/30","INDXX 멀티에셋인컴 지수(시장가격 지수)","Indxx","일반 (1)","실물(액티브)","해외","혼합자산","1800000","미래에셋자산운용","50000","0.550","배당소득세(보유기간과세)"
"KR7412770000","412770","미래에셋 TIGER 글로벌메타버스액티브증권상장지수투자신탁(주식)","TIGER 글로벌메타버스액티브","MIRAE ASSET TIGER GLOBAL METAVERSE ACTIVE ETF","2021/12/22","Indxx Global Metaverse Index (Price Return)","Indxx","일반 (1)","실물(액티브)","해외","주식","24760000","미래에셋자산운용","10000","0.790","배당소득세(보유기간과세)"
"KR7418670006","418670","미래에셋 TIGER 글로벌사이버보안INDXX증권상장지수투자신탁(주식)","TIGER 글로벌사이버보안INDXX","MIRAE ASSET TIGER GLOBAL CYBERSECURITY INDXX ETF","2022/02/22","Indxx Cybersecurity 지수 (총수익)","Indxx","일반 (1)","실물(패시브)","해외","주식","1080000","미래에셋자산운용","40000","0.490","배당소득세(보유기간과세)"
"KR7371450008","371450","미래에셋 TIGER 글로벌클라우드컴퓨팅INDXX증권상장지수투자신탁(주식-파생형)","TIGER 글로벌클라우드컴퓨팅INDXX","MIRAE ASSET TIGER GLOBAL CLOUD COMPUTING INDXX ETF","2020/12/08","Indxx Global Cloud Computing Index(Net Total Return)","Indxx","일반 (1)","실물(패시브)","해외","주식","5720000","미래에셋자산운용","40000","0.490","배당소득세(보유기간과세)"
"KR7248270001","248270","미래에셋 TIGER 글로벌헬스케어 증권상장지수투자신탁(주식-파생형)(합성)","TIGER S&P글로벌헬스케어(합성)","MIRAE ASSET TIGER SYNTH-GLOBAL HEALTHCARE ETF","2016/07/01","S&P Global 1200 Health Care Index","S&P","일반 (1)","합성(패시브)","해외","주식","1500000","미래에셋자산운용","20000","0.400","배당소득세(보유기간과세)"
"KR7139310007","139310","미래에셋 TIGER 금속선물 특별자산상장지수투자신탁(금속-파생형)","TIGER 금속선물(H)","MIRAE ASSET TIGER METAL FUTURES ETF","2011/04/08","S&P GSCI Industrial Metals Select Index(TR)","S&P","일반 (1)","실물(패시브)","해외","원자재","600000","미래에셋자산운용","100000","0.690","배당소득세(보유기간과세)"
"KR7139320006","139320","미래에셋 TIGER 금은선물 특별자산상장지수투자신탁(금속-파생형)","TIGER 금은선물(H)","MIRAE ASSET TIGER PRECIOUS METAL FUTURES ETF","2011/04/08","S&P GSCI Precious Metals Index(TR)","S&P","일반 (1)","실물(패시브)","해외","원자재","800000","미래에셋자산운용","50000","0.690","배당소득세(보유기간과세)"
"KR7137610002","137610","미래에셋 TIGER 농산물선물 특별자산상장지수투자신탁(농산물-파생형)","TIGER 농산물선물Enhanced(H)","MIRAE ASSET TIGER AGRI FUTURES ETF","2011/01/11","S&P GSCI Agriculture Enhanced Index(ER)","S&P","일반 (1)","실물(패시브)","해외","원자재","3700000","미래에셋자산운용","100000","0.690","배당소득세(보유기간과세)"
"KR7272580002","272580","미래에셋 TIGER 단기채권액티브증권상장지수투자신탁(채권)","TIGER 단기채권액티브","MIRAE ASSET TIGER MONEY MARKET ACTIVE ETF","2017/06/29","KIS MSB 3M PLUS 지수(총수익)","KIS 채권평가","일반 (1)","실물(액티브)","국내","채권","13438000","미래에셋자산운용","2000","0.070","배당소득세(보유기간과세)"
"KR7157450008","157450","미래에셋 TIGER 단기통안채증권상장지수투자신탁(채권)","TIGER 단기통안채","MIRAE ASSET TIGER MONEY MARKET ETF","2012/05/16","KIS 통안채 3개월(총수익)","KIS 채권평가","일반 (1)","실물(패시브)","국내","채권","14476000","미래에셋자산운용","1000","0.090","배당소득세(보유기간과세)"
"KR7105010003","105010","미래에셋 TIGER 라틴 증권상장지수투자신탁(주식)","TIGER 라틴35","MIRAE ASSET TIGER LATIN ETF","2008/08/27","BNY Latin America 35 ADR","BNY Mellon","일반 (1)","실물(패시브)","해외","주식","1600000","미래에셋자산운용","100000","0.490","배당소득세(해외주식투자전용ETF)"
"KR7123320004","123320","미래에셋 TIGER 레버리지 증권상장지수투자신탁(주식-파생형)","TIGER 레버리지","MIRAE ASSET TIGER LEVERAGE ETF","2010/04/09","코스피 200","KRX","2X 레버리지 (2)","실물(패시브)","국내","주식","3300000","미래에셋자산운용","100000","0.022","배당소득세(보유기간과세)"
"KR7341850006","341850","미래에셋 TIGER 리츠부동산인프라채권TR KIS부동산상장지수투자신탁(재간접형)","TIGER 리츠부동산인프라채권TR KIS","MIRAE ASSET TIGER REITS REAL ESTATE INFRA BOND TR KIS ETF","2020/05/22","KIS 리츠부동산인프라채권TR 지수","KIS 채권평가","일반 (1)","실물(패시브)","국내","혼합자산","6600000","미래에셋자산운용","50000","0.220","배당소득세(분리과세부동산ETF)"
"KR7329200000","329200","미래에셋 TIGER 리츠부동산인프라혼합자산상장지수투자신탁(재간접형)","TIGER 리츠부동산인프라","MIRAE ASSET TIGER REITS REAL ESTATE INFRA ETF","2019/07/19","FnGuide 리츠부동산인프라","FnGuide","일반 (1)","실물(패시브)","국내","부동산","45900000","미래에셋자산운용","50000","0.290","비과세"
"KR7147970008","147970","미래에셋 TIGER 모멘텀 증권상장지수투자신탁(주식)","TIGER 모멘텀","MIRAE ASSET TIGER MOMENTUM ETF","2011/10/26","FnGuide 모멘텀 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","300000","미래에셋자산운용","20000","0.290","비과세"
"KR7429000003","429000","미래에셋 TIGER 미국S&P500배당귀족증권상장지수투자신탁(주식)","TIGER 미국S&P500배당귀족","MIRAE ASSET TIGER S&P500 DIVIDEND ARISTOCRATS ETF","2022/05/17","S&P 500 Dividend Aristocrats 지수 (Price Return)","S&P","일반 (1)","실물(패시브)","해외","주식","2800000","미래에셋자산운용","50000","0.250","배당소득세(보유기간과세)"
"KR7360750004","360750","미래에셋 TIGER 미국S&P500증권상장지수투자신탁(주식)","TIGER 미국S&P500","MIRAE ASSET TIGER S&P500 ETF","2020/08/07","S&P 500","S&P","일반 (1)","실물(패시브)","해외","주식","133850000","미래에셋자산운용","50000","0.070","배당소득세(보유기간과세)"
"KR7435420005","435420","미래에셋 TIGER 미국나스닥100TR채권혼합Fn증권상장지수투자신탁(채권혼합)","TIGER 미국나스닥100TR채권혼합Fn","MIRAE ASSET TIGER Nasdaq100 TR Balanced ETF","2022/07/06","FnGuide 나스닥100 채권혼합 지수(총수익 지수)","FnGuide","일반 (1)","실물(패시브)","국내&해외","혼합자산","1700000","미래에셋자산운용","50000","0.250","배당소득세(보유기간과세)"
"KR7418660007","418660","미래에셋 TIGER 미국나스닥100레버리지증권상장지수투자신탁(주식혼합-파생형)(합성)","TIGER 미국나스닥100레버리지(합성)","MIRAE ASSET TIGER SYNTH-NASDAQ 100 LEVERAGE ETF","2022/02/22","NASDAQ 100","NASDAQ","2X 레버리지 (2)","합성(패시브)","해외","주식","4000000","미래에셋자산운용","50000","0.250","배당소득세(보유기간과세)"
"KR7133690008","133690","미래에셋 TIGER 미국나스닥100증권상장지수투자신탁(주식)","TIGER 미국나스닥100","MIRAE ASSET TIGER NASDAQ100 ETF","2010/10/18","NASDAQ 100","NASDAQ","일반 (1)","실물(패시브)","해외","주식","29330000","미래에셋자산운용","10000","0.070","배당소득세(해외주식투자전용ETF)"
"KR7441680006","441680","미래에셋 TIGER 미국나스닥100커버드콜증권상장지수투자신탁(주식-파생형)(합성)","TIGER 미국나스닥100커버드콜(합성)","MIRAE ASSET TIGER SYNTH-Nasdaq100 Covered Call ETF","2022/09/22","Cboe Nasdaq-100 BuyWrite V2 지수 (Total Return)","NASDAQ","일반 (1)","합성(패시브)","해외","주식","3100000","미래에셋자산운용","50000","0.370","배당소득세(보유기간과세)"
"KR7429010002","429010","미래에셋 TIGER 미국나스닥넥스트100증권상장지수투자신탁(주식)","TIGER 미국나스닥넥스트100","MIRAE ASSET TIGER NASDAQ NEXT 100 ETF","2022/05/17","Nasdaq Next Generation 100 지수 (Price Return)","NASDAQ","일반 (1)","실물(패시브)","해외","주식","850000","미래에셋자산운용","50000","0.490","배당소득세(보유기간과세)"
"KR7245340005","245340","미래에셋 TIGER 미국다우존스30 증권상장지수투자신탁(주식-파생형)","TIGER 미국다우존스30","MIRAE ASSET TIGER DOW JONES 30 ETF","2016/07/01","Dow Jones Industrial Average","S&P","일반 (1)","실물(패시브)","해외","주식","4720000","미래에셋자산운용","20000","0.350","배당소득세(해외주식투자전용ETF)"
"KR7329750004","329750","미래에셋 TIGER 미국달러단기채권액티브증권상장지수투자신탁(채권-파생형)","TIGER 미국달러단기채권액티브","MIRAE ASSET TIGER USD MONEY MARKET ACTIVE ETF","2019/07/24","KIS U.S. TREASURY BOND 0-1Y 지수(총수익)","KIS 채권평가","일반 (1)","실물(액티브)","해외","채권","49960000","미래에셋자산운용","10000","0.300","배당소득세(보유기간과세)"
"KR7261110001","261110","미래에셋 TIGER 미국달러선물레버리지특별자산상장지수투자신탁(달러-파생형)","TIGER 미국달러선물레버리지","MIRAE ASSET TIGER USD Futures Leverage ETF","2016/12/27","미국달러선물지수","KRX","2X 레버리지 (2)","실물(패시브)","국내","통화","700000","미래에셋자산운용","100000","0.050","배당소득세(보유기간과세)"
"KR7261120000","261120","미래에셋 TIGER 미국달러선물인버스2X특별자산상장지수투자신탁(달러-파생형)","TIGER 미국달러선물인버스2X","MIRAE ASSET TIGER USD Futures Inverse2X ETF","2016/12/27","미국달러선물지수","KRX","2X 인버스 (-2)","실물(패시브)","국내","통화","3300000","미래에셋자산운용","100000","0.050","배당소득세(보유기간과세)"
"KR7305080004","305080","미래에셋 TIGER 미국채10년선물증권상장지수투자신탁(채권-파생형)","TIGER 미국채10년선물","MIRAE ASSET TIGER 10Y U.S. TREASURY NOTE FUTURES ETF","2018/08/30","S&P 10-Year U.S. Treasury Note Futures(ER)","S&P","일반 (1)","실물(패시브)","해외","채권","8300000","미래에셋자산운용","100000","0.290","배당소득세(보유기간과세)"
"KR7381170000","381170","미래에셋 TIGER 미국테크TOP10 INDXX증권상장지수투자신탁(주식)","TIGER 미국테크TOP10 INDXX","MIRAE ASSET TIGER US Tech TOP10 INDXX ETF","2021/04/09","Indxx US Tech Top 10 Index","Indxx","일반 (1)","실물(패시브)","해외","주식","136000000","미래에셋자산운용","50000","0.490","배당소득세(보유기간과세)"
"KR7381180009","381180","미래에셋 TIGER 미국필라델피아반도체나스닥증권상장지수투자신탁(주식)","TIGER 미국필라델피아반도체나스닥","MIRAE ASSET TIGER US PHLX Semiconductor Sector Nasdaq ETF","2021/04/09","PHLX Semiconductor Sector Index","NASDAQ","일반 (1)","실물(패시브)","해외","주식","154250000","미래에셋자산운용","50000","0.490","배당소득세(보유기간과세)"
"KR7228810008","228810","미래에셋 TIGER 미디어컨텐츠 증권상장지수투자신탁(주식)","TIGER 미디어컨텐츠","MIRAE ASSET TIGER MEDIA CONTENTS ETF","2015/10/07","WISE 미디어컨텐츠 지수","WiseFn","일반 (1)","실물(패시브)","국내","주식","16920000","미래에셋자산운용","30000","0.500","비과세"
"KR7091230003","091230","미래에셋 TIGER 반도체 증권상장지수투자신탁(주식)","TIGER 반도체","MIRAE ASSET TIGER SEMICON ETF","2006/06/27","KRX 반도체","KRX","일반 (1)","실물(패시브)","국내","주식","4420000","미래에셋자산운용","20000","0.460","비과세"
"KR7098560006","098560","미래에셋 TIGER 방송통신증권상장지수투자신탁(주식)","TIGER 방송통신","MIRAE ASSET TIGER MEDIA&TELECOM ETF","2007/09/07","KRX 방송통신","KRX","일반 (1)","실물(패시브)","국내","주식","540000","미래에셋자산운용","20000","0.460","비과세"
"KR7138520002","138520","미래에셋 TIGER 삼성그룹 증권상장지수투자신탁(주식)","TIGER 삼성그룹펀더멘털","MIRAE ASSET TIGER SAMSUNG GROUP ETF","2011/03/07","MKF SAMs FW","FnGuide","일반 (1)","실물(패시브)","국내","주식","2300000","미래에셋자산운용","20000","0.150","비과세"
"KR7157490004","157490","미래에셋 TIGER 소프트웨어 증권상장지수투자신탁(주식)","TIGER 소프트웨어","MIRAE ASSET TIGER SOFTWARE ETF","2012/05/16","FnGuide 소프트웨어 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","6680000","미래에셋자산운용","20000","0.400","비과세"
"KR7228800009","228800","미래에셋 TIGER 여행레저 증권상장지수투자신탁(주식)","TIGER 여행레저","MIRAE ASSET TIGER TOUR LEISURE ETF","2015/10/07","WISE 여행레저 지수","WiseFn","일반 (1)","실물(패시브)","국내","주식","41760000","미래에셋자산운용","30000","0.500","비과세"
"KR7227570009","227570","미래에셋 TIGER 우량가치 증권상장지수투자신탁(주식)","TIGER 우량가치","MIRAE ASSET TIGER QUALITY VALUE ETF","2015/09/23","FnGuide 퀄리티밸류 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","1710000","미래에셋자산운용","30000","0.400","비과세"
"KR7261140008","261140","미래에셋 TIGER 우선주증권상장지수투자신탁(주식)","TIGER 우선주","MIRAE ASSET TIGER PREFERRED STOCK ETF","2017/01/06","코스피 우선주 지수","KRX","일반 (1)","실물(패시브)","국내","주식","780000","미래에셋자산운용","20000","0.290","비과세"
"KR7130680002","130680","미래에셋 TIGER 원유선물 특별자산상장지수투자신탁(원유-파생형)","TIGER 원유선물Enhanced(H)","MIRAE ASSET TIGER WTI FUTURES ETF","2010/08/02","S&P GSCI Crude Oil Enhanced Index ER","S&P","일반 (1)","실물(패시브)","해외","원자재","5850000","미래에셋자산운용","50000","0.690","배당소득세(보유기간과세)"
"KR7245350004","245350","미래에셋 TIGER 유로스탁스배당30 증권상장지수투자신탁(주식-파생형)","TIGER 유로스탁스배당30","MIRAE ASSET TIGER EURO STOXX DIVIDEND 30 ETF","2016/07/01","Euro STOXX Select Dividend 30","STOXX","일반 (1)","실물(패시브)","해외","주식","1400000","미래에셋자산운용","50000","0.350","배당소득세(해외주식투자전용ETF)"
"KR7091220004","091220","미래에셋 TIGER 은행 증권상장지수투자신탁(주식)","TIGER 은행","MIRAE ASSET TIGER BANKS ETF","2006/06/27","KRX 은행","KRX","일반 (1)","실물(패시브)","국내","주식","1620000","미래에셋자산운용","20000","0.460","비과세"
"KR7307510008","307510","미래에셋 TIGER 의료기기증권상장지수투자신탁(주식)","TIGER 의료기기","MIRAE ASSET TIGER HEALTHCARE EQUIP ETF","2018/11/08","FnGuide 의료기기 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","500000","미래에셋자산운용","50000","0.500","비과세"
"KR7236350005","236350","미래에셋 TIGER 인도레버리지증권상장지수투자신탁(주식혼합-파생형)(합성)","TIGER 인도니프티50레버리지(합성)","MIRAE ASSET TIGER SYNTH-INDIA LEVERAGE ETF","2016/05/13","Nifty 50 Index","IISL(India Index Services and Products Ltd)","2X 레버리지 (2)","합성(패시브)","해외","주식","1220000","미래에셋자산운용","20000","0.580","배당소득세(보유기간과세)"
"KR7123310005","123310","미래에셋 TIGER 인버스 증권상장지수투자신탁(주식-파생형)","TIGER 인버스","MIRAE ASSET TIGER INVERSE ETF","2010/03/29","코스피 200 선물지수","KRX","1X 인버스 (-1)","실물(패시브)","국내","주식","16400000","미래에셋자산운용","100000","0.022","배당소득세(보유기간과세)"
"KR7241180009","241180","미래에셋 TIGER 일본니케이225증권상장지수투자신탁(주식-파생형)","TIGER 일본니케이225","MIRAE ASSET TIGER NIKKEI225 ETF","2016/03/31","Nikkei 225","Nikkei","일반 (1)","실물(패시브)","해외","주식","21940000","미래에셋자산운용","20000","0.350","배당소득세(해외주식투자전용ETF)"
"KR7292560000","292560","미래에셋 TIGER 일본엔선물특별자산상장지수투자신탁(엔-파생형)","TIGER 일본엔선물","MIRAE ASSET TIGER JPYKRW FUTURES ETF","2018/04/17","엔선물지수","KRX","일반 (1)","실물(패시브)","국내","통화","1600000","미래에셋자산운용","100000","0.250","배당소득세(보유기간과세)"
"KR7248260002","248260","미래에셋 TIGER 일본헬스케어 증권상장지수투자신탁(주식-파생형)(합성)","TIGER 일본TOPIX헬스케어(합성)","MIRAE ASSET TIGER SYNTH-JAPAN HEALTHCARE ETF","2016/07/01","TOPIX-17 Pharmaceutical Index","TSE(Tokyo Stock Exchange)","일반 (1)","합성(패시브)","해외","주식","400000","미래에셋자산운용","50000","0.400","배당소득세(보유기간과세)"
"KR7150460004","150460","미래에셋 TIGER 중국소비테마 증권상장지수투자신탁(주식)","TIGER 중국소비테마","MIRAE ASSET TIGER CHINA CONSUMER ETF","2011/12/16","FnGuide 중국내수테마 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","16440000","미래에셋자산운용","30000","0.500","비과세"
"KR7302190004","302190","미래에셋 TIGER 중장기국채증권상장지수투자신탁(채권-파생형)","TIGER 중장기국채","MIRAE ASSET TIGER KTB 3-10 ETF","2018/07/20","KIS 국채 3-10년 지수(시장가격지수)","KIS 채권평가","일반 (1)","실물(패시브)","국내","채권","1320000","미래에셋자산운용","20000","0.150","배당소득세(보유기간과세)"
"KR7157500000","157500","미래에셋 TIGER 증권 증권상장지수투자신탁(주식)","TIGER 증권","MIRAE ASSET TIGER SECURITIES ETF","2012/05/16","FnGuide 증권 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","1420000","미래에셋자산운용","20000","0.400","비과세"
"KR7307520007","307520","미래에셋 TIGER 지주회사증권상장지수투자신탁(주식)","TIGER 지주회사","MIRAE ASSET TIGER HOLDINGS COMPANY ETF","2018/11/08","FnGuide 지주회사 지수","FnGuide","일반 (1)","실물(패시브)","국내","주식","350000","미래에셋자산운용","50000","0.500","비과세"
"KR7117690008","117690","미래에셋 TIGER 차이나 증권상장지수투자신탁(주식)","TIGER 차이나항셍25","MIRAE ASSET TIGER CHINA ETF","2009/10/21","Hang Seng China (Hong Kong-listed) 25 Index","HangSeng","일반 (1)","실물(패시브)","해외","주식","450000","미래에셋자산운용","50000","0.490","배당소득세(해외주식투자전용ETF)"
"KR7245360003","245360","미래에셋 TIGER 차이나HSCEI증권상장지수투자신탁(주식-파생형)","TIGER 차이나HSCEI","MIRAE ASSET TIGER CHINA H-SHARE ETF","2016/06/16","Hang Seng China H","HangSeng","일반 (1)","실물(패시브)","해외","주식","9550000","미래에셋자산운용","50000","0.350","배당소득세(해외주식투자전용ETF)"
"KR7414780007","414780","미래에셋 TIGER 차이나과창판STAR50증권상장지수투자신탁(주식-파생형)(합성)","TIGER 차이나과창판STAR50(합성)","MIRAE ASSET TIGER SYNTH-CHINA STAR50 ETF","2022/01/13","STAR 50 Index(Price Return)","CSI","일반 (1)","합성(패시브)","해외","주식","26750000","미래에셋자산운용","50000","0.090","배당소득세(보유기간과세)"
"KR7371470006","371470","미래에셋 TIGER 차이나바이오테크SOLACTIVE증권상장지수투자신탁(주식-파생형)","TIGER 차이나바이오테크SOLACTIVE","MIRAE ASSET TIGER CHINA BIOTECH SOLACTIVE ETF","2020/12/08","Solactive China Biotech Index(Net Total Return)","Solactive","일반 (1)","실물(패시브)","해외","주식","7680000","미래에셋자산운용","40000","0.490","배당소득세(보유기간과세)"
"KR7396520009","396520","미래에셋 TIGER 차이나반도체FACTSET증권상장지수투자신탁(주식-파생형)","TIGER 차이나반도체FACTSET","MIRAE ASSET TIGER CHINA SEMICONDUCTOR FACTSET ETF","2021/08/10","FactSet China Semiconductor 지수(Net Total Return)","FACTSET","일반 (1)","실물(패시브)","해외","주식","3360000","미래에셋자산운용","40000","0.490","배당소득세(보유기간과세)"
"KR7371460007","371460","미래에셋 TIGER 차이나전기차SOLACTIVE증권상장지수투자신탁(주식-파생형)","TIGER 차이나전기차SOLACTIVE","MIRAE ASSET TIGER CHINA ELECTRIC VEHICLE SOLACTIVE ETF","2020/12/08","Solactive China Electric Vehicle Index(Net Total Return)","Solactive","일반 (1)","실물(패시브)","해외","주식","233520000","미래에셋자산운용","40000","0.490","배당소득세(보유기간과세)"
"KR7396510000","396510","미래에셋 TIGER 차이나클린에너지SOLACTIVE증권상장지수투자신탁(주식-파생형)","TIGER 차이나클린에너지SOLACTIVE","MIRAE ASSET TIGER CHINA CLEAN ENERGY SOLACTIVE ETF","2021/08/10","Solactive China Clean Energy 지수(Net Total Return)","Solactive","일반 (1)","실물(패시브)","해외","주식","4120000","미래에셋자산운용","40000","0.490","배당소득세(보유기간과세)"
"KR7438320004","438320","미래에셋 TIGER 차이나항셍테크레버리지증권상장지수투자신탁(주식혼합-파생)(합성 H)","TIGER 차이나항셍테크레버리지(합성 H)","MIRAE ASSET TIGER SYNTH-China HSTECH LEVERAGE ETF(H)","2022/08/23","Hang Seng TECH Index","HangSeng","2X 레버리지 (2)","합성(패시브)","해외","주식","1930000","미래에셋자산운용","10000","0.580","배당소득세(보유기간과세)"
